Run Start Time: 06/22/2019, 23:45:26

model type,kernel type,MAE value,MSE Value
Run Start Time: 06/22/2019, 23:45:29

model type,kernel type,MAE value,MSE Value
SVR,linear,0.3318846642019738,0.1586837303969697
SVR,poly,0.41129649192357864,0.20861593086798907
SVR,rbf,0.326640760668415,0.1482047922839565
SVR,sigmoid,1.8721162792783064,3.759050591481669
RFR,10-mae-None,0.32236082884551337,0.14300681750055097
RFR,10-mae-2,0.31879229313383856,0.13716880993414574
RFR,10-mae-4,0.33377423625833597,0.1584039524685304
RFR,10-mae-8,0.3138967923256249,0.1468624045341081
RFR,10-mae-16,0.3424666520457148,0.1585199409806885
RFR,10-mae-32,0.33180583375977774,0.15409487694665636
RFR,10-mae-64,0.31611599288447007,0.14742085252278095
RFR,10-mse-None,0.3385797207398201,0.14890805763178955
RFR,10-mse-2,0.3139555125384347,0.13371293742091972
RFR,10-mse-4,0.31625553432578757,0.13688338725240368
RFR,10-mse-8,0.3509388275621187,0.1673087333594476
RFR,10-mse-16,0.3319241659965397,0.14706180608867722
RFR,10-mse-32,0.33718202272745734,0.1492333292717773
RFR,10-mse-64,0.35121033863748974,0.1599727607313074
RFR,20-mae-None,0.31535420068068654,0.14510527965618936
RFR,20-mae-2,0.31246352478657474,0.13630960841805992
RFR,20-mae-4,0.31678043391735916,0.14203132641257252
RFR,20-mae-8,0.34237921875380756,0.1632667398966156
RFR,20-mae-16,0.33337367091486547,0.1584354437061019
RFR,20-mae-32,0.31999697833662305,0.1511352614699294
RFR,20-mae-64,0.3224327964194914,0.15167325755612443
RFR,20-mse-None,0.34114670771363514,0.15449835399986483
RFR,20-mse-2,0.31707676776980936,0.1352963812068796
RFR,20-mse-4,0.3193361842501158,0.1399713785477863
RFR,20-mse-8,0.36310234163439803,0.17114510347736578
RFR,20-mse-16,0.34333300300812547,0.16152581536690466
RFR,20-mse-32,0.3431105993777973,0.15164586106548752
RFR,20-mse-64,0.3506707686559284,0.1632104766638669
RFR,30-mae-None,0.3317982200344946,0.15752316619993378
